,Country,Year,EMPLOY_RATE
0,GRC,2004,66.5821550429292
1,GRC,2005,67.4714431723028
2,GRC,2006,68.5434613278653
3,GRC,2007,68.672415579898
4,GRC,2008,69.1217802521466
5,GRC,2009,68.348
6,GRC,2010,66.605
7,GRC,2011,62.466
8,GRC,2012,57.892
9,GRC,2013,55.643
10,GRC,2014,56.045
11,GRC,2015,57.644
12,GRC,2016,59.101
13,GRC,2017,60.553
14,GRC,2018,62.288
15,GRC,2019,64.101
16,GRC,2020,64.043
17,GRC,2021,65.389
18,GRC,2022,69.07
19,GRC,2023,70.04
20,NOR,2004,79.487392407265
21,NOR,2005,79.4074976205793
22,NOR,2006,80.6348293495673
23,NOR,2007,81.9901978709741
24,NOR,2008,82.7898204746281
25,NOR,2009,82.063
26,NOR,2010,81.057
27,NOR,2011,81.265
28,NOR,2012,81.547
29,NOR,2013,81.204
30,NOR,2014,81.318
31,NOR,2015,80.662
32,NOR,2016,80.438
33,NOR,2017,80.103
34,NOR,2018,80.813
35,NOR,2019,81.145
36,NOR,2020,80.449
37,NOR,2021,81.481
38,NOR,2022,82.179
39,NOR,2023,81.616
40,CAN,2004,76.0416483042295
41,CAN,2005,76.0352173208512
42,CAN,2006,76.1554325899045
43,CAN,2007,76.6305377014848
44,CAN,2008,76.6303031637348
45,CAN,2009,75.122
46,CAN,2010,75.252
47,CAN,2011,75.657
48,CAN,2012,76.211
49,CAN,2013,76.483
50,CAN,2014,76.134
51,CAN,2015,76.284
52,CAN,2016,76.281
53,CAN,2017,77.067
54,CAN,2018,77.685
55,CAN,2019,78.199
56,CAN,2020,74.67
57,CAN,2021,77.463
58,CAN,2022,79.328
59,CAN,2023,79.816
60,SWE,2004,79.6529175050301
61,SWE,2005,80.3212935302596
62,SWE,2006,80.9212166542009
63,SWE,2007,82.0200513712817
64,SWE,2008,82.3816213536071
65,SWE,2009,80.866
66,SWE,2010,80.719
67,SWE,2011,81.971
68,SWE,2012,82.314
69,SWE,2013,82.626
70,SWE,2014,82.769
71,SWE,2015,83.11
72,SWE,2016,83.591
73,SWE,2017,84.133
74,SWE,2018,84.686
75,SWE,2019,84.46
76,SWE,2020,83.326
77,SWE,2021,82.641
78,SWE,2022,84.12
79,SWE,2023,84.661
80,MEX,2004,66.6165679557373
81,MEX,2005,66.6520005750997
82,MEX,2006,67.6457646002611
83,MEX,2007,67.7072218168004
84,MEX,2008,67.4871137739836
85,MEX,2009,66.972
86,MEX,2010,66.722
87,MEX,2011,67.199
88,MEX,2012,68.102
89,MEX,2013,68.157
90,MEX,2014,67.673
91,MEX,2015,68.13
92,MEX,2016,68.467
93,MEX,2017,68.511
94,MEX,2018,68.944
95,MEX,2019,69.46
96,MEX,2020,66.418
97,MEX,2021,67.824
98,MEX,2022,69.712
99,MEX,2023,70.907
100,BEL,2004,67.6771145822792
101,BEL,2005,68.645565179512
102,BEL,2006,68.4961466541349
103,BEL,2007,69.8053355893373
104,BEL,2008,70.263334829729
105,BEL,2009,69.756
106,BEL,2010,70.266
107,BEL,2011,69.979
108,BEL,2012,70.05
109,BEL,2013,70.321
110,BEL,2014,70.501
111,BEL,2015,70.282
112,BEL,2016,70.933
113,BEL,2017,71.89
114,BEL,2018,72.977
115,BEL,2019,73.604
116,BEL,2020,73.468
117,BEL,2021,74.057
118,BEL,2022,75.41
119,BEL,2023,75.456
120,ISR,2004,67.4453932452031
121,ISR,2005,68.269454099171
122,ISR,2006,69.3280122942712
123,ISR,2007,70.8572858808698
124,ISR,2008,71.7751935494612
125,ISR,2009,70.824
126,ISR,2010,71.871
127,ISR,2011,72.862
128,ISR,2012,74.037
129,ISR,2013,74.518
130,ISR,2014,75.525
131,ISR,2015,76.202
132,ISR,2016,76.611
133,ISR,2017,77.066
134,ISR,2018,77.495
135,ISR,2019,77.695
136,ISR,2020,76.175
137,ISR,2021,75.711
138,ISR,2022,78.583
139,ISR,2023,78.911
140,FRA,2004,71.3376193745708
141,FRA,2005,71.2871593404893
142,FRA,2006,71.2858849842213
143,FRA,2007,71.6445550866753
144,FRA,2008,72.1940775586514
145,FRA,2009,71.306
146,FRA,2010,71.248
147,FRA,2011,71.171
148,FRA,2012,71.513
149,FRA,2013,71.546
150,FRA,2014,71.737
151,FRA,2015,71.844
152,FRA,2016,72.328
153,FRA,2017,72.878
154,FRA,2018,73.473
155,FRA,2019,73.853
156,FRA,2020,73.915
157,FRA,2021,75.389
158,FRA,2022,76.045
159,FRA,2023,76.38
160,CHE,2004,80.6443181194901
161,CHE,2005,80.8334067017596
162,CHE,2006,81.0188522031952
163,CHE,2007,81.9760836344548
164,CHE,2008,83.1331697100232
165,CHE,2009,82.72
166,CHE,2010,80.43
167,CHE,2011,81.525
168,CHE,2012,81.96
169,CHE,2013,81.761
170,CHE,2014,82.172
171,CHE,2015,82.741
172,CHE,2016,82.997
173,CHE,2017,83.008
174,CHE,2018,83.431
175,CHE,2019,84.102
176,CHE,2020,83.734
177,CHE,2021,82.881
178,CHE,2022,82.988
179,CHE,2023,84.083
180,GBR,2004,75.2619895617879
181,GBR,2005,75.5454432572374
182,GBR,2006,75.6215581671841
183,GBR,2007,75.7595818552062
184,GBR,2008,75.7100635953341
185,GBR,2009,74.596
186,GBR,2010,74.53
187,GBR,2011,74.399
188,GBR,2012,75.171
189,GBR,2013,75.942
190,GBR,2014,76.998
191,GBR,2015,77.761
192,GBR,2016,78.184
193,GBR,2017,79.037
194,GBR,2018,79.344
195,GBR,2019,79.975
196,GBR,2020,79.642
197,GBR,2021,79.348
198,GBR,2022,79.786
199,GBR,2023,80.004
200,CHL,2004,63.9558960150556
201,CHL,2005,65.0919376949168
202,CHL,2006,66.3026100507242
203,CHL,2007,67.3967125211365
204,CHL,2008,68.1966983691061
205,CHL,2009,67.101
206,CHL,2010,69.816
207,CHL,2011,71.835
208,CHL,2012,72.703
209,CHL,2013,73.338
210,CHL,2014,73.121
211,CHL,2015,73.182
212,CHL,2016,72.919
213,CHL,2017,73.53
214,CHL,2018,73.729
215,CHL,2019,73.926
216,CHL,2020,65.217
217,CHL,2021,67.673
218,CHL,2022,70.97
219,CHL,2023,72.13
220,DEU,2004,69.7727423602044
221,DEU,2005,70.4847866583872
222,DEU,2006,72.1799492724602
223,DEU,2007,73.9923460824027
224,DEU,2008,75.038610470712
225,DEU,2009,75.382
226,DEU,2010,76.15
227,DEU,2011,77.674
228,DEU,2012,78.202
229,DEU,2013,78.649
230,DEU,2014,79.097
231,DEU,2015,79.362
232,DEU,2016,80.081
233,DEU,2017,80.64
234,DEU,2018,81.303
235,DEU,2019,81.953
236,DEU,2020,80.505
237,DEU,2021,80.628
238,DEU,2022,81.796
239,DEU,2023,82.323
240,FIN,2004,73.8472368884195
241,FIN,2005,74.5780590717299
242,FIN,2006,75.438596491228
243,FIN,2007,76.0055963623644
244,FIN,2008,76.9364362625911
245,FIN,2009,75.199
246,FIN,2010,74.62
247,FIN,2011,75.373
248,FIN,2012,75.585
249,FIN,2013,75.035
250,FIN,2014,74.824
251,FIN,2015,74.718
252,FIN,2016,75.08
253,FIN,2017,75.911
254,FIN,2018,78.046
255,FIN,2019,78.935
256,FIN,2020,78.557
257,FIN,2021,78.72
258,FIN,2022,80.184
259,FIN,2023,79.989
260,LTU,2004,73.2431359770812
261,LTU,2005,74.6044230425888
262,LTU,2006,74.7757084149729
263,LTU,2007,76.3129932120654
264,LTU,2008,75.2901033872902
265,LTU,2009,70.897
266,LTU,2010,68.368
267,LTU,2011,71.126
268,LTU,2012,72.481
269,LTU,2013,73.556
270,LTU,2014,74.993
271,LTU,2015,76.405
272,LTU,2016,78.163
273,LTU,2017,78.845
274,LTU,2018,80.367
275,LTU,2019,80.564
276,LTU,2020,79.356
277,LTU,2021,79.871
278,LTU,2022,80.957
279,LTU,2023,80.399
280,CRI,2004,67.8830520909455
281,CRI,2005,70.7774996852196
282,CRI,2006,70.5791089566839
283,CRI,2007,71.873606605957
284,CRI,2008,71.679024171681
285,CRI,2009,70.49
286,CRI,2010,69.745
287,CRI,2011,67.318
288,CRI,2012,70.691
289,CRI,2013,70.779
290,CRI,2014,70.721
291,CRI,2015,69.537
292,CRI,2016,67.634
293,CRI,2017,68.622
294,CRI,2018,69.654
295,CRI,2019,71.059
296,CRI,2020,63.41
297,CRI,2021,66.129
298,CRI,2022,69.056
299,CRI,2023,67.228
300,POL,2004,60.7994168866474
301,POL,2005,61.7120326361711
302,POL,2006,63.116620905247
303,POL,2007,65.5219633991735
304,POL,2008,67.4867827579099
305,POL,2009,67.366
306,POL,2010,66.819
307,POL,2011,67.259
308,POL,2012,67.45
309,POL,2013,67.613
310,POL,2014,69.033
311,POL,2015,70.306
312,POL,2016,71.507
313,POL,2017,72.934
314,POL,2018,73.974
315,POL,2019,74.641
316,POL,2020,75.65
317,POL,2021,77.699
318,POL,2022,78.889
319,POL,2023,79.927
320,ESP,2004,67.0991248749061
321,ESP,2005,68.916195672404
322,ESP,2006,70.2416268585224
323,ESP,2007,71.081002837181
324,ESP,2008,69.973744206779
325,ESP,2009,65.929
326,ESP,2010,64.986
327,ESP,2011,64.372
328,ESP,2012,62.231
329,ESP,2013,61.31
330,ESP,2014,62.661
331,ESP,2015,64.642
332,ESP,2016,66.604
333,ESP,2017,68.097
334,ESP,2018,69.522
335,ESP,2019,70.609
336,ESP,2020,68.663
337,ESP,2021,70.294
338,ESP,2022,72.001
339,ESP,2023,73.338
340,SVN,2004,72.9821130232882
341,SVN,2005,73.4510889322633
342,SVN,2006,73.7723826944665
343,SVN,2007,74.4414266826599
344,SVN,2008,75.1692206621768
345,SVN,2009,74.328
346,SVN,2010,72.712
347,SVN,2011,70.846
348,SVN,2012,70.969
349,SVN,2013,69.985
350,SVN,2014,70.398
351,SVN,2015,71.383
352,SVN,2016,72.232
353,SVN,2017,75.118
354,SVN,2018,77.187
355,SVN,2019,78.381
356,SVN,2020,78.289
357,SVN,2021,78.985
358,SVN,2022,80.587
359,SVN,2023,79.755
360,LUX,2004,70.3534293771757
361,LUX,2005,71.5417399829651
362,LUX,2006,71.8620692245152
363,LUX,2007,72.7398754780532
364,LUX,2008,71.5130708208237
365,LUX,2009,73.174
366,LUX,2010,74.222
367,LUX,2011,73.75
368,LUX,2012,74.96
369,LUX,2013,74.648
370,LUX,2014,75.67
371,LUX,2015,73.785
372,LUX,2016,73.856
373,LUX,2017,74.667
374,LUX,2018,74.901
375,LUX,2019,75.699
376,LUX,2020,75.541
377,LUX,2021,77.055
378,LUX,2022,78.276
379,LUX,2023,78.12
380,PRT,2004,74.8366352287135
381,PRT,2005,74.4836005978208
382,PRT,2006,74.754001591245
383,PRT,2007,74.6033373931007
384,PRT,2008,74.9790169760046
385,PRT,2009,73.167
386,PRT,2010,72.656
387,PRT,2011,68.762
388,PRT,2012,66.467
389,PRT,2013,66.055
390,PRT,2014,68.738
391,PRT,2015,70.593
392,PRT,2016,72.154
393,PRT,2017,75.048
394,PRT,2018,77.253
395,PRT,2019,78.133
396,PRT,2020,77.522
397,PRT,2021,78.992
398,PRT,2022,80.497
399,PRT,2023,81.27
400,SVK,2004,66.2793096335006
401,SVK,2005,67.2440090838219
402,SVK,2006,68.987194412107
403,SVK,2007,69.9823496787588
404,SVK,2008,72.1063744531218
405,SVK,2009,69.985
406,SVK,2010,68.434
407,SVK,2011,68.768
408,SVK,2012,68.849
409,SVK,2013,68.672
410,SVK,2014,69.397
411,SVK,2015,70.904
412,SVK,2016,72.815
413,SVK,2017,73.751
414,SVK,2018,75.041
415,SVK,2019,76.248
416,SVK,2020,75.463
417,SVK,2021,78.024
418,SVK,2022,80.04
419,SVK,2023,80.709
420,USA,2004,75.3645070866348
421,USA,2005,75.7185434754438
422,USA,2006,76.1946511880915
423,USA,2007,76.1909878025658
424,USA,2008,75.5174623920775
425,USA,2009,72.495
426,USA,2010,71.796
427,USA,2011,71.654
428,USA,2012,72.181
429,USA,2013,72.319
430,USA,2014,72.983
431,USA,2015,73.392
432,USA,2016,73.94
433,USA,2017,74.616
434,USA,2018,75.298
435,USA,2019,75.877
436,USA,2020,71.795
437,USA,2021,73.68
438,USA,2022,75.803
439,USA,2023,76.641
440,COL,2004,69.1766269180349
441,COL,2005,70.0454190003099
442,COL,2007,68.7869709042667
443,COL,2008,69.2849082926428
444,COL,2009,70.75
445,COL,2010,72.041
446,COL,2011,73.044
447,COL,2012,73.695
448,COL,2013,73.682
449,COL,2014,73.949
450,COL,2015,74.227
451,COL,2016,73.819
452,COL,2017,73.417
453,COL,2018,72.736
454,COL,2019,71.401
455,COL,2020,63.133
456,COL,2021,66.015
457,COL,2022,69.93
458,COL,2023,71.243
459,KOR,2004,71.3012312415672
460,KOR,2005,71.2235367412169
461,KOR,2006,71.7350504970913
462,KOR,2007,72.0132642544333
463,KOR,2008,72.1123019432939
464,KOR,2009,71.165
465,KOR,2010,71.581
466,KOR,2011,72.215
467,KOR,2012,72.557
468,KOR,2013,72.959
469,KOR,2014,73.708
470,KOR,2015,73.816
471,KOR,2016,73.859
472,KOR,2017,74.22
473,KOR,2018,74.053
474,KOR,2019,73.972
475,KOR,2020,72.78
476,KOR,2021,72.996
477,KOR,2022,74.832
478,KOR,2023,75.724
479,NLD,2004,72.6726335848513
480,NLD,2005,73.2066232214875
481,NLD,2006,74.1679773353923
482,NLD,2007,75.8648665350714
483,NLD,2008,77.456508037755
484,NLD,2009,77.428
485,NLD,2010,76.938
486,NLD,2011,77.034
487,NLD,2012,77.357
488,NLD,2013,76.728
489,NLD,2014,76.49
490,NLD,2015,77.368
491,NLD,2016,78.269
492,NLD,2017,79.195
493,NLD,2018,80.442
494,NLD,2019,81.39
495,NLD,2020,81.561
496,NLD,2021,82.109
497,NLD,2022,83.227
498,NLD,2023,83.828
499,ISL,2004,85.5672947705116
500,ISL,2005,86.0457232900333
501,ISL,2006,86.5332121172324
502,ISL,2007,87.0233312917022
503,ISL,2008,85.6460795163513
504,ISL,2009,81.379
505,ISL,2010,81.321
506,ISL,2011,81.22
507,ISL,2012,81.782
508,ISL,2013,82.729
509,ISL,2014,83.318
510,ISL,2015,85.202
511,ISL,2016,86.516
512,ISL,2017,85.959
513,ISL,2018,84.746
514,ISL,2019,84.272
515,ISL,2020,81.301
516,ISL,2021,82.75
517,ISL,2022,85.808
518,ISL,2023,86.233
519,AUT,2004,69.8650830203589
520,AUT,2005,70.8059335188262
521,AUT,2006,72.0896954549701
522,AUT,2007,73.3603303607568
523,AUT,2008,74.3398679216101
524,AUT,2009,74.041
525,AUT,2010,74.646
526,AUT,2011,74.745
527,AUT,2012,75.155
528,AUT,2013,75.27
529,AUT,2014,75.027
530,AUT,2015,75.159
531,AUT,2016,75.744
532,AUT,2017,76.423
533,AUT,2018,77.178
534,AUT,2019,77.654
535,AUT,2020,76.457
536,AUT,2021,76.428
537,AUT,2022,78.006
538,AUT,2023,77.92
539,DNK,2004,78.4281085193398
540,DNK,2005,78.8150807980308
541,DNK,2006,80.3540548043092
542,DNK,2007,79.7482138953005
543,DNK,2008,79.9140782287989
544,DNK,2009,76.91
545,DNK,2010,76.005
546,DNK,2011,76.068
547,DNK,2012,75.871
548,DNK,2013,76.044
549,DNK,2014,76.388
550,DNK,2015,77.235
551,DNK,2016,77.917
552,DNK,2017,78.342
553,DNK,2018,79.335
554,DNK,2019,80.068
555,DNK,2020,79.513
556,DNK,2021,80.741
557,DNK,2022,81.999
558,DNK,2023,81.459
559,CZE,2004,72.6762341939557
560,CZE,2005,73.3727910712775
561,CZE,2006,73.7726098191214
562,CZE,2007,74.4888499665349
563,CZE,2008,75.1034266783141
564,CZE,2009,73.84
565,CZE,2010,73.452
566,CZE,2011,74.171
567,CZE,2012,74.719
568,CZE,2013,75.801
569,CZE,2014,76.711
570,CZE,2015,77.72
571,CZE,2016,79.505
572,CZE,2017,81.165
573,CZE,2018,82.506
574,CZE,2019,82.835
575,CZE,2020,82.472
576,CZE,2021,82.701
577,CZE,2022,84.156
578,CZE,2023,84.788
579,JPN,2004,74.6315192743764
580,JPN,2005,75.0142045454545
581,JPN,2006,75.6243756243756
582,JPN,2007,76.3733103249928
583,JPN,2008,76.3888888888888
584,JPN,2009,75.766
585,JPN,2010,75.915
586,JPN,2011,76.046
587,JPN,2012,76.388
588,JPN,2013,77.544
589,JPN,2014,78.66
590,JPN,2015,79.408
591,JPN,2016,80.418
592,JPN,2017,81.532
593,JPN,2018,82.791
594,JPN,2019,83.463
595,JPN,2020,83.261
596,JPN,2021,83.62
597,JPN,2022,84.372
598,JPN,2023,84.754
599,HUN,2004,64.5359032994128
600,HUN,2005,64.9626610512297
601,HUN,2006,65.4171615498404
602,HUN,2007,65.0549452756071
603,HUN,2008,64.3594875544207
604,HUN,2009,65.608
605,HUN,2010,65.299
606,HUN,2011,65.901
607,HUN,2012,67.034
608,HUN,2013,68.384
609,HUN,2014,71.781
610,HUN,2015,73.891
611,HUN,2016,76.436
612,HUN,2017,78.031
613,HUN,2018,79.349
614,HUN,2019,80.398
615,HUN,2020,80.237
616,HUN,2021,81.651
617,HUN,2022,83.218
618,HUN,2023,83.794
619,ITA,2004,63.2639542059954
620,ITA,2005,63.4292345466052
621,ITA,2006,64.4031822771061
622,ITA,2007,64.7617119569681
623,ITA,2008,64.8905842264779
624,ITA,2009,63.878
625,ITA,2010,63.367
626,ITA,2011,63.583
627,ITA,2012,63.543
628,ITA,2013,62.635
629,ITA,2014,62.917
630,ITA,2015,63.583
631,ITA,2016,64.499
632,ITA,2017,65.27
633,ITA,2018,65.917
634,ITA,2019,66.413
635,ITA,2020,65.501
636,ITA,2021,65.622
637,ITA,2022,67.547
638,ITA,2023,69.066
639,LVA,2004,69.9021259044654
640,LVA,2005,70.8840256921792
641,LVA,2006,74.9200048822953
642,LVA,2007,76.9680495315133
643,LVA,2008,77.2752941762228
644,LVA,2009,69.51
645,LVA,2010,67.217
646,LVA,2011,69.462
647,LVA,2012,70.862
648,LVA,2013,72.501
649,LVA,2014,72.927
650,LVA,2015,74.384
651,LVA,2016,75.133
652,LVA,2017,76.435
653,LVA,2018,78.226
654,LVA,2019,79.009
655,LVA,2020,78.642
656,LVA,2021,77.075
657,LVA,2022,78.578
658,LVA,2023,79.089
659,AUS,2004,72.3970036733467
660,AUS,2005,73.6793930971701
661,AUS,2006,74.3088281786473
662,AUS,2007,75.0570211626963
663,AUS,2008,75.4751921200596
664,AUS,2009,74.893
665,AUS,2010,75.444
666,AUS,2011,75.798
667,AUS,2012,75.589
668,AUS,2013,75.336
669,AUS,2014,75.05
670,AUS,2015,75.58
671,AUS,2016,75.926
672,AUS,2017,76.566
673,AUS,2018,77.166
674,AUS,2019,77.744
675,AUS,2020,76.416
676,AUS,2021,78.163
677,AUS,2022,79.951
678,AUS,2023,80.538
679,TUR,2004,49.463605213437
680,TUR,2005,49.5994513886724
681,TUR,2006,49.6354799513973
682,TUR,2007,49.5537699765766
683,TUR,2008,49.7621257832443
684,TUR,2009,49.27
685,TUR,2010,51.516
686,TUR,2011,53.55
687,TUR,2012,54.216
688,TUR,2013,54.691
689,TUR,2014,54.336
690,TUR,2015,54.931
691,TUR,2016,55.497
692,TUR,2017,56.479
693,TUR,2018,56.747
694,TUR,2019,54.991
695,TUR,2020,52.508
696,TUR,2021,55.149
697,TUR,2022,57.623
698,TUR,2023,58.096
699,EST,2004,71.9748641222601
700,EST,2005,73.7132260322726
701,EST,2006,78.3915593397374
702,EST,2007,79.2323845877308
703,EST,2008,79.0710149428467
704,EST,2009,72.82
705,EST,2010,70.032
706,EST,2011,73.38
707,EST,2012,74.905
708,EST,2013,76.105
709,EST,2014,76.744
710,EST,2015,78.444
711,EST,2016,78.235
712,EST,2017,79.99
713,EST,2018,80.428
714,EST,2019,81.287
715,EST,2020,80.71
716,EST,2021,81.002
717,EST,2022,83.453
718,EST,2023,83.592
719,ZAF,2004,55.08978916
720,ZAF,2005,57.06468523
721,ZAF,2006,58.75930461
722,ZAF,2007,58.17961476
723,ZAF,2008,58.8181997
724,ZAF,2009,56.6856243
725,ZAF,2010,54.3918787
726,ZAF,2011,54.4028274
727,ZAF,2012,54.82239478
728,ZAF,2013,55.26364111
729,ZAF,2014,55.19452932
730,ZAF,2015,55.83426196
731,ZAF,2016,55.04567868
732,ZAF,2017,55.14863963
733,ZAF,2018,54.97101449
734,ZAF,2019,53.92009502
735,ZAF,2020,49.2109188
736,ZAF,2021,47.25308327
737,NZL,2004,77.8434906230098
738,NZL,2005,79.1680287956337
739,NZL,2006,79.4025440197107
740,NZL,2007,79.8375315006303
741,NZL,2008,79.6925163905286
742,NZL,2009,78.697
743,NZL,2010,78.436
744,NZL,2011,78.921
745,NZL,2012,78.404
746,NZL,2013,79.249
747,NZL,2014,80.392
748,NZL,2015,80.115
749,NZL,2016,81.437
750,NZL,2017,82.695
751,NZL,2018,82.974
752,NZL,2019,82.768
753,NZL,2020,82.126
754,NZL,2021,83.236
755,NZL,2022,84.117
756,NZL,2023,84.575
757,BRA,2004,72.15655344
758,BRA,2005,72.71506025
759,BRA,2006,73.05403607
760,BRA,2007,72.69607862
761,BRA,2008,73.59269166
762,BRA,2009,73.21948889
763,BRA,2011,72.38156185
764,BRA,2012,68.97354477
765,BRA,2013,69.58225235
766,BRA,2014,69.69658322
767,BRA,2015,69.19889169
768,BRA,2016,68.91320901
769,BRA,2017,68.04576613
770,BRA,2018,68.54552063
771,BRA,2019,69.2371524
772,BRA,2020,63.8151393
773,BRA,2021,65.03316168
774,IRL,2004,72.1565482222697
775,IRL,2005,73.4019351124071
776,IRL,2006,73.9570441712321
777,IRL,2007,74.3197435748662
778,IRL,2008,73.2469249604414
779,IRL,2009,68.464
780,IRL,2010,66.54
781,IRL,2011,65.616
782,IRL,2012,65.652
783,IRL,2013,67.451
784,IRL,2014,69.137
785,IRL,2015,70.896
786,IRL,2016,72.054
787,IRL,2017,74.121
788,IRL,2018,75.533
789,IRL,2019,76.686
790,IRL,2020,75.671
791,IRL,2021,76.915
792,IRL,2022,80.262
793,IRL,2023,81.05
